NAME,PHONE,ADDRESS,LOCATION,LATITUDE,LONGITUDE
52nd Precinct,718-220-5811,"3016 Webster Avenue, New York, NY","3016 REAR, Webster Avenue, Bedford Park, New York, The Bronx, Bronx County, New York, 10467, United States of America",40.8688289,-73.87960708161594
60th Precinct,718-946-3311,"2951 West 8th Street, New York, NY","NYPD 60th Precinct, West 8th Street, West Brighton, New York, Brooklyn, Kings County, New York, 11224, United States of America",40.57651505,-73.97609753793938
61st Precinct,718-627-6611,"2575 Coney Island Avenue, New York, NY","Sixtyfirst Precinct Police Station House, Coney Island Avenue, Gravesend, New York, Brooklyn, Kings County, New York, 11223, United States of America",40.594171349999996,-73.96048726556828
62nd Precinct,718-236-2611,"1925 Bath Avenue, New York, NY","1925, Bath Avenue, Bath Beach, New York, Brooklyn, Kings County, New York, 11214, United States of America",40.6025772,-74.00299988095668
63rd Precinct,718-258-4411,"1844 Brooklyn Avenue, New York, NY","1844, Brooklyn Avenue, Flatlands, New York, Brooklyn, Kings County, New York, 11210, United States of America",40.6279617,-73.94160667402886
66th Precinct,718-851-5611,"5822 16th Avenue, New York, NY","Sixtysixth Precinct Police Station, 16th Avenue, Parkville, New York, Brooklyn, Kings County, New York, 11219, United States of America",40.6257785,-73.99135492860181
67th Precinct,718-287-3211,"2820 Snyder Avenue, New York, NY","2820, Snyder Avenue, Flatbush, New York, Brooklyn, Kings County, New York, 11226, United States of America",40.6487689,-73.95019
68th Precinct,718-439-4211,"333 65th Street, New York, NY","333, 65th Street, Sunset Park, New York, Brooklyn, Kings County, New York, 11220, United States of America",40.638963849999996,-74.02263559644052
69th Precinct,718-257-6211,"9720 Foster Avenue, New York, NY","9720, Foster Avenue, Canarsie, New York, Brooklyn, Kings County, New York, 11236, United States of America",40.648490499999994,-73.90496134444203
70th Precinct,718-851-5511,"154 Lawrence Avenue, New York, NY","Seventieth Precinct Police Station, Lawrence Avenue, Parkville, New York, Brooklyn, Kings County, New York, 11230, United States of America",40.63035295,-73.97372085139176
71st Precinct,718-735-0511,"421 Empire Boulevard, New York, NY","421, Empire Boulevard, Crown Heights, New York, Brooklyn, Kings County, New York, 11225, United States of America",40.6645423,-73.94788400186542
72nd Precinct,718-965-6311,"830 4th Avenue, New York, NY","830, 4th Avenue, Sunset Park, New York, Brooklyn, Kings County, New York, 11232, United States of America",40.6582116,-74.0007637
73rd Precinct,718-495-5411,"1470 East New York Avenue, New York, NY","69th Precint-NYPD, East New York Avenue, Ocean Hill, New York, Brooklyn, Kings County, New York, 11212, United States of America",40.67078385,-73.91354331061422
75th Precinct,718-827-3511,"1000 Sutter Avenue, New York, NY","1000, Sutter Avenue, East New York, New York, Brooklyn, Kings County, New York, 11208, United States of America",40.67117035,-73.88145873279599
76th Precinct,718-834-3211,"191 Union Street, New York, NY","New York Police Department 76th Precinct, Union Street, Columbia Street Waterfront District, New York, Brooklyn, Kings County, New York, 11231, United States of America",40.683839649999996,-74.00019310230408
77th Precinct,718-735-0611,"127 Utica Avenue, New York, NY","77th Precinct, Utica Avenue, Eastern Parkway, New York, Brooklyn, Kings County, New York, 11213, United States of America",40.67477385,-73.93024528334647
78th Precinct,718-636-6411,"65 6th Ave Brooklyn, NY 11217","78th Precinct, 6th Avenue, Prospect Heights, New York, Brooklyn, Kings County, New York, 11217, United States of America",40.68090725,-73.9741761660501
79th Precinct,718-636-6611,"263 Tompkins Avenue, New York, NY","New York City Police Department - 79th Precinct, Tompkins Avenue, BEDFORD STUYVESANT/ EXPANDED STUYVEVSANT HEIGHTS HISTORIC DISTRICT, New York, Brooklyn, Kings County, New York, 11216, United States of America",40.6888386,-73.94470605912969
81st Precinct,718-574-0411,"30 Ralph Avenue, New York, NY","30, Ralph Avenue, Bushwick, New York, Brooklyn, Kings County, New York, 11221, United States of America",40.6897012,-73.9242145
83rd Precinct,718-574-1605,"480 Knickerbocker Avenue, New York, NY","480, Knickerbocker Avenue, Bushwick, New York, Brooklyn, Kings County, New York, 11237, United States of America",40.6981536,-73.91787129404761
84th Precinct,718-875-6811,"301 Gold Street, New York, NY","301, Gold Street, New York, Brooklyn, Kings County, New York, 11201, United States of America",40.6953224,-73.9830904
88th Precinct,718-636-6511,"298 Classon Avenue, New York, NY","NYPD 88th Precinct, Classon Avenue, Clinton Hill, New York, Brooklyn, Kings County, New York, 11205, United States of America",40.69008425,-73.96048450772389
90th Precinct,718-963-5311,"211 Union Avenue, New York, NY","NYPD 90th Precinct, Union Avenue, Williamsburg, New York, Brooklyn, Kings County, New York, 11211, United States of America",40.7064072,-73.9505747
94th Precinct,718-383-3879,"100 Meserole Avenue, New York, NY","100, Meserole Avenue, Greenpoint, New York, Brooklyn, Kings County, New York, 11222, United States of America",40.726806,-73.953204
100th Precinct,718-318-4200,"92-24 Rockaway Beach Boulevard, New York, NY","92-24, Rockaway Beach Boulevard, Holland, Queens, New York, Queens County, New York, 11693, United States of America",40.586362300000005,-73.81656005288384
101st Precinct,718-868-3400,"16-12 Mott Avenue, New York, NY","16-12, Mott Avenue, Roy Reuther Houses, Queens, New York, Queens County, New York, 11691, United States of America",40.6029503,-73.7499972
102nd Precinct,718-805-3200,"87-30, 118th Street, Richmond Hill, Queens, New York, 11418","87-30, 118th Street, Richmond Hill, Queens, New York, Queens County, New York, 11418, United States of America",40.6987303,-73.83157209672252
103rd Precinct,718-657-8181,"168-02 91st Ave, New York, NY","168-02, 91st Avenue, Hillside, Queens, New York, Queens County, New York, 11432, United States of America",40.7071477,-73.7926904
104th Precinct,718-386-3004,"64-2 Catalpa Avenue, New York, NY","64, Catalpa Avenue, Hewlett, Nassau County, New York, 11563, United States of America",40.6500330900066,-73.68575609004472
105th Precinct,718-776-9090,"92-08 222nd Street, New York, NY","92-08, 222nd Street, Queens Village, Queens, New York, Queens County, New York, 11428, United States of America",40.72617005,-73.73512860655315
106th Precinct,718-845-2211,"103-53 101st Street, New York, NY","103-53, 101st Street, Ozone Park, Queens, New York, Queens County, New York, 11417, United States of America",40.68219860000001,-73.83974945
107th Precinct,718-969-5100,"71-01 Parsons Boulevard, New York, NY","NYPD 107 PCT, Parsons Boulevard, Pomonok, Queens, New York, Queens County, New York, 11365, United States of America",40.7299492,-73.81062673923094
108th Precinct,718-784-5411,"5-47 50th Avenue, New York, NY","108th Precinct Police Station, 50th Avenue, Long Island City, Queens, New York, Queens County, New York, 11101, United States of America",40.74303995,-73.95474394328949
109th Precinct,718-321-2250,"37-05 Union Street, New York, NY","37-05, Union Street, Flushing, Queens, New York, Queens County, New York, 11354, United States of America",40.762352199999995,-73.82702044854032
110th Precinct,718-476-9311,"94-41 43rd Avenue, New York, NY","94-41, 43rd Avenue, Corona, Queens, New York, Queens County, New York, 11373, United States of America",40.745218550000004,-73.87007180184463
111th Precinct,718-279-5200,"45-06 215th Street, New York, NY","45-06, 215th Street, Oakland Gardens, Queens, New York, Queens County, New York, 11361, United States of America",40.76021085,-73.76774854628971
112th Precinct,718-520-9311,"68-40 Austin Street, New York, NY","NYPD 112 PCT, Austin Street, Parkside, Queens, New York, Queens County, New York, 11375, United States of America",40.722245900000004,-73.85111500966215
113th Precinct,718-712-7733,"167-02 Baisley Boulevard, New York, NY","167-02, Baisley Boulevard, Rochdale Village, Queens, New York, Queens County, New York, 11434, United States of America",40.67977855,-73.77573573193634
114th Precinct,718-626-9311,"34-16 Astoria Boulevard, New York, NY","34, Astoria Boulevard, Jackson Heights, Queens, New York, Queens County, New York, 11103, United States of America",40.767446,-73.90419233333333
115th Precinct,718-533-2002,"92-15 Northern Boulevard, New York, NY","New York City Police Department - 115th Precinct, Northern Boulevard, North Beach, Queens, New York, Queens County, New York, 11369, United States of America",40.756843599999996,-73.8755332327489
120th Precinct,718-876-8500,"78 Richmond Terrace, New York, NY","120 Precinct Police Station, Richmond Terrace, Saint George, New York, Staten Island, Richmond County, New York, 10301, United States of America",40.64464375,-74.07741756960358
121st Precinct,718-697-8700,"970 Richmond Avenue, New York, NY","Richmond Avenue, Bulls Head, New York, Staten Island, Richmond County, New York, 10314, United States of America",40.6052621,-74.1621293
122nd Precinct,718-667-2211,"2320 Hylan Boulevard, New York, NY","2320, Hylan Boulevard, Grant City, Todt Hill, New York, Staten Island, Richmond County, New York, 10306, United States of America",40.574106,-74.1055194107062
123rd Precinct,718-948-9311,"116, Main Street, Tottenville, New York, Staten Island, New York, 10307","116, Main Street, Tottenville, New York, Staten Island, Richmond County, New York, 10307, United States of America",40.51184395,-74.24997827590624
